Net Worth,Rent or Mortgage,Loan Debt,Medical Expenses,Income Bin
886723.6458724862,740273.1971760956,10722.117479790517,116705.25393300634,2
250387.03133906794,486880.4095603109,59309.15720983102,308444.8324464548,3
93435.73313930076,200022.83089478358,20187.194319793765,882599.1749395229,4
574357.2623003992,73910.71235040169,33210.45600808703,253470.9537890668,1
55233.263805936294,287815.6404965758,17091.059564257004,177972.6566803266,3
92697.12121237993,794245.4865583441,60764.13155720194,91868.17138938952,7
397716.12968268234,271920.1171357155,51629.983911965726,709172.3041308951,2
17083.37109240643,249161.07645519814,99083.82296215015,704754.2656962873,7
860231.3337033055,690817.7640391103,50581.53538697181,275388.7894664335,4
230570.11437851939,517125.5532690271,99112.6580582361,728379.197960472,1
551367.5297269581,609781.3847571003,16329.976216237896,473241.07775532396,6
537298.8363646097,634449.6821567862,49028.06858415822,98942.63638283385,4
643422.286767514,546920.1147542021,6289.767020298443,453803.0282240655,2
850719.3427338416,179341.92540762227,79533.06582446527,896080.2306582563,8
349717.7387707947,862463.0488535252,77077.55440250986,173497.86853498372,0
403530.77653724287,194864.5797632914,81338.1118263175,385408.94946383964,8
410842.53575006226,370140.79710361833,85041.14971372136,148645.97327591432,3
501672.36604305566,785016.7222844723,26537.71738345958,957687.3513719277,0
566021.2907133902,904155.1256585119,73492.9291574773,898479.7026157998,5
355540.31466298696,378296.09444084775,18251.25073765087,487584.3103646386,6
106434.4168390926,946437.9065991498,6567.2656584097485,952473.0394588392,1
684643.7732643384,548774.8198117621,12152.363839681946,597039.4520298482,5
19631.249563705765,943645.326012394,21640.341101262107,621858.7128800983,6
964713.354945302,721321.3152086465,27406.76356903834,919325.1673696226,2
256512.52046640238,637853.7839119589,78782.95352405126,538780.1341060224,8
465383.82266924094,214180.60804773332,88464.58498949684,571572.0368429646,6
842816.1727313371,83860.6097699921,22515.50779945124,4083.430739635463,7
697338.1452370688,763440.0419210811,38506.436194526425,981441.106053995,6
27353.74815935565,278773.07704632817,51581.7322258182,721232.549564228,8
832838.6340883988,851561.6113887054,60838.69140224562,630147.9489061693,8
55359.51086934299,86179.98486528889,80105.00780877424,585870.3415439301,1
679089.8515294876,449038.76022192236,55518.1160791008,412268.76461662364,8
813476.4143012846,898670.9461950847,8748.349182547232,832519.9615778074,6
818421.7175541329,790394.5550177323,87077.90060369269,626289.023407128,2
848264.7277789236,203255.78173645242,24337.927773204647,915070.4157887226,8
237053.43186856498,414934.2741579559,89450.08562756918,504812.86671478563,3
807957.7212711013,981251.1429369192,65007.70538997617,155679.0673222408,2
195647.89668932947,756301.55916789,4580.777035942396,555692.2675354659,7
735419.9122132953,629430.1321082923,97225.9772635555,236141.76552916056,1
960182.0457663928,676853.6082641853,37987.63637668373,776628.6538948829,3
585155.5578576982,407749.2342504172,2574.4323980266713,484961.0798478583,5
24312.771582719717,387105.4973109307,46689.49619008147,106489.31055186783,6
378596.51483494503,722281.2511623985,23965.919865587748,947063.2591698816,7
675831.7842407663,473284.92262340296,97532.4540630584,574228.8050850127,7
190373.32261073403,723780.0083078584,51455.96112341572,970196.7766879296,5
744963.9437844971,559973.4130593858,4288.577474796928,393351.50941864995,8
250981.79215099558,553310.748113233,19259.22866200185,764687.3848511454,3
584117.6912399395,65435.26057609883,52391.308007081396,911232.4544959362,0
555699.198879309,535068.9270374203,54146.13613405865,243448.33596481464,3
890270.5946685611,124563.64747480131,10092.221874042783,452602.1218635616,3
28591.2004487483,224562.06481310658,87260.78869266433,454250.6171176802,0
495283.35111138056,969442.472681925,11451.365554011683,388518.8977863607,0
429217.8403027506,199952.08303023814,81553.32489386744,34540.44441114257,8
595396.2193742377,422700.48989092465,44703.99974016289,143625.83895525837,1
236053.14670374445,961554.1909456085,87464.1296215737,897376.5620975624,2
886256.4711264408,275357.61831516534,6524.741308736215,245317.86862242088,8
773079.806158579,19229.101622929345,24026.386369480646,388655.35072471324,8
203706.483194128,168341.9532502606,67063.9882088277,164680.71817760987,7
179655.69400426472,709681.3912270161,25987.956765625975,972394.3759724402,0
617657.7804906825,439679.5992803724,84312.17527935225,893108.8272989196,8
820099.054361579,649215.3048181543,2953.545399624846,998770.5098685799,5
388318.9544761858,554889.2601644297,75633.8255971497,318246.5783852173,8
243387.6751190318,972783.0920137251,9759.069462777303,675336.0343353307,1
509479.1316251531,860223.5188543784,41522.82647254459,77539.31344060661,3
406781.1258104712,265600.0552552472,35011.158477457415,431169.3237781912,7
840593.0753928224,722013.0679276598,74499.87611692374,304785.58520490315,7
888892.161093528,936872.7182537378,1275.917158870199,753864.0569011171,4
463949.7781484183,689407.5228778428,8652.74962266267,958098.5723664628,8
264692.4601764624,441883.81154707854,24382.971521834796,562083.0453818563,6
391114.0261509003,931723.5918107773,45539.630424174924,611076.0083601809,3
270862.98429906106,971697.4842526723,93615.53033436276,715310.3461015673,6
936497.6992869414,992874.4691295163,60063.09527580718,429965.0329581954,4
617167.0632174235,82112.52439917727,56816.17711812522,563394.3288310675,0
723641.3028629655,459201.87978117523,77770.57891797656,466404.6066464238,8
998763.7791077793,424741.6832410358,28370.62146700001,777825.2292160421,8
722901.7440715666,630831.1259803177,1577.8339648310769,300158.486944729,5
847944.810463962,581087.573887671,9569.678205910126,908448.1295982216,0
792166.2001736854,196409.17682339498,33657.18052319743,909548.9705136842,7
662649.2051808233,875165.0851692375,67060.13787351554,894273.4052499463,6
40313.225363300066,265228.5328723748,26634.676802153324,435982.9225910134,5
862246.9440615344,342232.5587855305,59392.73262919342,24298.663722993053,7
466735.1270536407,333273.8373938735,88016.63678178357,471884.5531567959,7
902163.0912281121,969899.1816769165,73952.24358971139,761174.3549126578,3
351390.3361377435,934860.0372811585,58858.29102551952,848480.149469438,5
711758.1660102875,535826.4833797325,24848.20230451372,659541.4741388953,4
971909.061645841,933027.861248559,48905.53581448374,840074.4805623273,8
288150.68120169576,822495.5615314028,45479.31577466932,677124.7475368017,4
711998.5733653022,991474.5733251213,66072.67073398808,188857.65763669292,8
834867.4400795787,704335.5411584175,29930.166453397145,676272.6063160481,7
606435.3455659068,605824.827391613,56115.98975082956,999129.0506308443,0
647937.4809008437,184131.74327935767,81402.03172694764,350658.6224520426,7
163070.20124743343,692500.5659256564,67163.65699235072,788811.109152559,0
